วันที่/เวลา,ครั้งที่,รับซื้อ(บาท),ขายออก(บาท) 1,ฐานภาษี(บาท),ขายออก(บาท) 2,Gold spot,เงินบาท,ขึ้น/ลง
11/10/2567 16:24,7.0,41500.0,41600.0,40750.08,42100.0,2637.0,33.33,50.0
11/10/2567 13:44,6.0,41550.0,41650.0,40795.56,42150.0,2640.0,33.36,50.0
11/10/2567 11:32,5.0,41600.0,41700.0,40856.2,42200.0,2645.0,33.33,50.0
11/10/2567 10:36,4.0,41550.0,41650.0,40795.56,42150.0,2642.0,33.31,50.0
11/10/2567 09:32,3.0,41500.0,41600.0,40750.08,42100.0,2641.0,33.28,50.0
11/10/2567 09:19,2.0,41450.0,41550.0,40704.6,42050.0,2637.0,33.27,50.0
11/10/2567 09:02,1.0,41500.0,41600.0,40750.08,42100.0,2637.5,33.33,0.0
10/10/2567 16:36,8.0,41500.0,41600.0,40750.08,42100.0,2618.5,33.57,50.0
10/10/2567 15:20,7.0,41450.0,41550.0,40704.6,42050.0,2615.5,33.59,50.0
10/10/2567 14:32,6.0,41400.0,41500.0,40659.12,42000.0,2615.0,33.54,50.0
10/10/2567 14:06,5.0,41350.0,41450.0,40598.48,41950.0,2610.0,33.56,50.0
10/10/2567 13:26,4.0,41400.0,41500.0,40659.12,42000.0,2615.0,33.55,50.0
10/10/2567 10:19,3.0,41350.0,41450.0,40598.48,41950.0,2616.5,33.47,50.0
10/10/2567 09:22,2.0,41300.0,41400.0,40553.0,41900.0,2610.0,33.49,50.0
10/10/2567 09:02,1.0,41350.0,41450.0,40598.48,41950.0,2611.0,33.53,0.0
09/10/2567 15:32,6.0,41350.0,41450.0,40598.48,41950.0,2616.0,33.49,50.0
09/10/2567 11:44,5.0,41300.0,41400.0,40553.0,41900.0,2618.0,33.42,50.0
09/10/2567 10:18,4.0,41250.0,41350.0,40507.52,41850.0,2616.0,33.37,50.0
09/10/2567 10:02,3.0,41300.0,41400.0,40553.0,41900.0,2618.5,33.38,50.0
09/10/2567 09:51,2.0,41350.0,41450.0,40598.48,41950.0,2621.0,33.39,50.0
09/10/2567 09:03,1.0,41400.0,41500.0,40659.12,42000.0,2618.0,33.47,300.0
08/10/2567 16:21,10.0,41700.0,41800.0,40947.16,42300.0,2638.5,33.47,50.0
08/10/2567 16:09,9.0,41650.0,41750.0,40901.68,42250.0,2636.0,33.46,50.0
08/10/2567 15:04,8.0,41700.0,41800.0,40947.16,42300.0,2635.0,33.52,50.0
08/10/2567 14:59,7.0,41650.0,41750.0,40901.68,42250.0,2633.0,33.5,50.0
08/10/2567 14:28,6.0,41700.0,41800.0,40947.16,42300.0,2635.5,33.51,50.0
08/10/2567 14:01,5.0,41750.0,41850.0,40992.64,42350.0,2635.5,33.56,50.0
08/10/2567 10:22,4.0,41800.0,41900.0,41053.28,42400.0,2642.0,33.53,50.0
08/10/2567 09:48,3.0,41750.0,41850.0,40992.64,42350.0,2636.0,33.56,50.0
08/10/2567 09:43,2.0,41800.0,41900.0,41053.28,42400.0,2636.0,33.6,50.0
08/10/2567 09:09,1.0,41750.0,41850.0,40992.64,42350.0,2644.5,33.44,100.0
07/10/2567 17:12,6.0,41850.0,41950.0,41098.76,42450.0,2655.5,33.43,50.0
07/10/2567 15:07,5.0,41800.0,41900.0,41053.28,42400.0,2652.0,33.43,50.0
07/10/2567 14:31,4.0,41750.0,41850.0,40992.64,42350.0,2645.5,33.46,50.0
07/10/2567 12:35,3.0,41700.0,41800.0,40947.16,42300.0,2643.5,33.45,50.0
07/10/2567 11:39,2.0,41750.0,41850.0,40992.64,42350.0,2647.5,33.43,50.0
07/10/2567 09:01,1.0,41700.0,41800.0,40947.16,42300.0,2645.5,33.41,100.0
05/10/2567 09:05,1.0,41600.0,41700.0,40856.2,42200.0,2653.0,33.24,200.0
04/10/2567 14:09,6.0,41400.0,41500.0,40659.12,42000.0,2660.0,33.0,50.0
04/10/2567 13:50,5.0,41350.0,41450.0,40598.48,41950.0,2663.0,32.92,50.0
04/10/2567 13:27,4.0,41400.0,41500.0,40659.12,42000.0,2666.5,32.9,50.0
04/10/2567 12:01,3.0,41450.0,41550.0,40704.6,42050.0,2664.5,32.97,50.0
04/10/2567 10:49,2.0,41500.0,41600.0,40750.08,42100.0,2661.0,33.09,50.0
