Month,Year,Province_Type,Revenue (Million Baht),Corrected Data
มกราคม,2565,นนทบุรี,ชาวไทย,197.1,198.55
กุมภาพันธ์,2565,นนทบุรี,ชาวไทย,174.89,181.87
มีนาคม,2565,นนทบุรี,ชาวไทย,187.38,185.6
เมษายน,2565,นนทบุรี,ชาวไทย,198.8,262.45
พฤษภาคม,2565,นนทบุรี,ชาวไทย,225.57,275.52
มิถุนายน,2565,นนทบุรี,ชาวไทย,223.24,285.76
กรกฎาคม,2565,นนทบุรี,ชาวไทย,284.83,352.04
สิงหาคม,2565,นนทบุรี,ชาวไทย,297.08,359.45
กันยายน,2565,นนทบุรี,ชาวไทย,304.61,339.99
ตุลาคม,2565,นนทบุรี,ชาวไทย,288.74,320.18
พฤศจิกายน,2565,นนทบุรี,ชาวไทย,333.44,369.79
ธันวาคม,2565,นนทบุรี,ชาวไทย,344.63,394.73
มกราคม,2564,นนทบุรี,ชาวไทย,77.12,
กุมภาพันธ์,2564,นนทบุรี,ชาวไทย,96.25,
มีนาคม,2564,นนทบุรี,ชาวไทย,120.92,
เมษายน,2564,นนทบุรี,ชาวไทย,48.36,
พฤษภาคม,2564,นนทบุรี,ชาวไทย,4.23,
มิถุนายน,2564,นนทบุรี,ชาวไทย,3.45,
กรกฎาคม,2564,นนทบุรี,ชาวไทย,2.29,
สิงหาคม,2564,นนทบุรี,ชาวไทย,3,
กันยายน,2564,นนทบุรี,ชาวไทย,12.93,
ตุลาคม,2564,นนทบุรี,ชาวไทย,34.09,
พฤศจิกายน,2564,นนทบุรี,ชาวไทย,102.73,
ธันวาคม,2564,นนทบุรี,ชาวไทย,211.96,
มกราคม,2563,นนทบุรี,ชาวไทย,385.54,
กุมภาพันธ์,2563,นนทบุรี,ชาวไทย,262.99,
มีนาคม,2563,นนทบุรี,ชาวไทย,48.04,
เมษายน,2563,นนทบุรี,ชาวไทย,0,
พฤษภาคม,2563,นนทบุรี,ชาวไทย,1.81,
มิถุนายน,2563,นนทบุรี,ชาวไทย,97.9,
กรกฎาคม,2563,นนทบุรี,ชาวไทย,113.09,
สิงหาคม,2563,นนทบุรี,ชาวไทย,138.2,
กันยายน,2563,นนทบุรี,ชาวไทย,128.87,
ตุลาคม,2563,นนทบุรี,ชาวไทย,141.15,
พฤศจิกายน,2563,นนทบุรี,ชาวไทย,217.67,
ธันวาคม,2563,นนทบุรี,ชาวไทย,201.54,
มกราคม,2565,นนทบุรี,ชาวต่างชาติ,1.59,3.13
กุมภาพันธ์,2565,นนทบุรี,ชาวต่างชาติ,1.47,2.62
มีนาคม,2565,นนทบุรี,ชาวต่างชาติ,1,2.13
เมษายน,2565,นนทบุรี,ชาวต่างชาติ,0.85,1.12
พฤษภาคม,2565,นนทบุรี,ชาวต่างชาติ,8.17,11.22
มิถุนายน,2565,นนทบุรี,ชาวต่างชาติ,10.45,18.92
กรกฎาคม,2565,นนทบุรี,ชาวต่างชาติ,10.59,17.22
สิงหาคม,2565,นนทบุรี,ชาวต่างชาติ,12.25,20.2
กันยายน,2565,นนทบุรี,ชาวต่างชาติ,12.5,20.97
ตุลาคม,2565,นนทบุรี,ชาวต่างชาติ,13.84,23.07
